,SMILES,LogS_water,LogS_ethanol,LogS_benzene,LogS_acetone
370,Clc1cc(c2cc(Cl)ccc2)ccc1,-5.8,,,
371,S(SC(=S)N(C)C)C(=S)N(C)C,-3.9,,,
372,Clc1ccc(C2CCC(C3=C(O)C(=O)c4c(C3=O)cccc4)CC2)cc1,-5.93,,,
373,S(=O)(=O)(O)c1cc2c(cc1)cccc2,-1.265,,,
374,c12c3cc4c5c(ccc4c1CCc2ccc3)cccc5,-7.850011,,,
375,CC1C(C)CCCC1,-4.28474,,,
376,O[C@@H]([C@@H](NC)C)c1ccccc1,-0.385209,,,
377,O=C(N(CC(C)C)CC(C)C)COC(=O)c1ccccc1,-3.561,,,
378,FC(F)(F)C(=O)c1ccccc1,-1.155,,,
379,O=C1NC(=O)CC1,0.3,,,
380,O=C(NCCc1cc(OC)c(OC)cc1)CNc1cc(C(=O)N)ccc1,-2.686,,,
381,S(=O)(=O)(c1ccccc1)c1ccccc1,-3.64378,,,
382,C(CCCC)(CC)C,-5.16,,,
383,S=P(OCC)(OCC)Oc1ccc([N+](=O)[O-])cc1,-4.28517,,,
384,O=C(N(CC(O)C)CC(O)C)COC(=O)c1ccccc1,-1.178,,,
385,O=C(Nc1c(C)cccc1C)C1N(CCCC)CCCC1,-3.2241,,,
386,S(P(=O)(OC)OC)CCSC(C(=O)NC)C,1.14,,,
387,O=C(OC(C)(C)C)N,0.1,,,
388,OCC,1.1,,,
389,Ic1c(Cl)cc(OP(=S)(OC)OC)c(Cl)c1,-6.62,,,
390,S=C=NC,-1.0,,,
391,c12c3c(ccc1cc1c4c(ccc1c2)cccc4)cccc3,-8.659953,,,
392,O=C1C(C)(C)C2CC1(C)CC2,-1.85,,,
393,Clc1cc2C(O)(C(=O)OC)c3c(c2cc1)cccc3,-4.18,,,
394,O=C(N(CCOC)CCOC)COC(=O)c1ccccc1,-1.573,,,
395,Ic1c(C(=O)Nc2ccccc2)cccc1,-4.21,,,
396,Clc1ccc(NC(=O)N(OC)C)cc1,-2.57,,,
397,Clc1c(Cl)c(Cl)c([N+](=O)[O-])c(Cl)c1Cl,-5.82,,,
398,ICCCCCCC,-4.81,,,
399,O=C(O)Cc1cc2N(C)c3c(Sc2cc1)cccc3,-3.94,,,
400,O=C(N(C)c1ccccc1)C,-0.95,,,
401,S(=O)(=O)(N)c1ccc(C)cc1,-1.74,,,
402,S(=O)(=O)(N)c1sc2C(O)CCS(=O)(=O)c2c1,-1.276,,,
403,O=C(O)c1nc2c(cc1)cccc2,-1.088,,,
404,N1c2c(cccc2)CC1,-1.04,,,
405,O=C1C(CC(C)C)OC(O)C(Cc2ccccc2)N1,-2.12,,,
406,OCCCCCCCCCCCC,-4.67,,,
407,S(=O)(=O)(N)c1scc(S(=O)(=O)c2cc(O)ccc2)c1,-2.719,,,
408,Clc1c(Cl)ccc(n2c(=O)n(C)c(=O)o2)c1,-2.82,,,
409,O=C(O)C1(C)C(C)(C)C(C(=O)O)CC1,-1.42,,,
410,BrCCCCCCC,-4.43,,,
411,C(CCC)CCc1ccccc1,-5.21,,,
412,OC1CCN(CCCN2c3c(Sc4c2cccc4)ccc(C#N)c3)CC1,-3.98,,,
413,Oc1cc(O)cc(/C=C/c2ccc(O)cc2)c1,-4.34008,,,
414,O=C(O)C(=C)CC(=O)O,-0.224117,,,
415,ClC1(C(=C(Cl)C(=C1Cl)Cl)Cl)C1(Cl)C(=C(Cl)C(=C1Cl)Cl)Cl,-7.279998,,,
416,O=[N+]([O-])c1c(OC(=O)C)c(C(C)(C)C)cc([N+](=O)[O-])c1C,-4.47,,,
417,S(C(=O)C)[C@H]1[C@H]2[C@H]3[C@@](C)([C@@]4(OC(=O)CC4)CC3)CC[C@@H]2[C@]2(C)C(=CC(=O)CC2)C1,-1.77,,,
418,OCCO,0.08,,,
419,O=[N+]([O-])C,0.26,,,
420,S(=O)(=O)(N)c1c(Oc2ccccc2)c(NCCCC)cc(C(=O)O)c1,-4.118,,,
421,S(=O)(=O)(N)c1sc2S(=O)(=O)CCC(O)c2c1,-1.65,,,
422,c12c3c4ccc1CCCc2ccc3CCC4,-5.96,,,
423,Clc1nc(N(NS(=O)(=O)c2c(C(=O)OCC)cccc2)C=O)nc(OC)c1,-4.58,,,
424,S(=O)(=O)(CC)CC,0.04,,,
425,O(C)c1c(CC=C(C)C)c2oc(=O)ccc2cc1,-4.31,,,
426,ClCC#CCOC(=O)Nc1cc(Cl)ccc1,-4.37,,,
427,O=[N+]([O-])CC,-0.22,,,
428,S=P(SCC(=O)NC)(OC)OC,-0.74,,,
429,O=C(N)Cc1ccc(OCC(O)CNC(C)C)cc1,0.04,,,
430,ClCC(=O)N(C(C)C)c1ccccc1,-2.48,,,
431,O=C(OCC(C)C)c1c(C(=O)OCC(C)C)cccc1,-4.68418,,,
432,O=C(O)c1c(=O)c2c(n(CC)c1)nc(C)cc2,-3.55212,,,
433,S(=O)(C)c1ccc(/C=C/2\C(=C(CC(=O)O)c3c2ccc(F)c3)C)cc1,-2.3777,,,
434,O=CC=CC,0.32,,,
435,O=C(NN)Nc1ccccc1,-2.33,,,
436,P(=O)(O)(CCC(=O)O)c1ccccc1,-3.078,,,
437,O=[N+](OC1C2OCC(O[N+](=O)[O-])C2OC1)[O-],-2.63,,,
438,O=C1C(CCC)C(=O)n2n1c(N(C)C)nc1c2cc(C)cc1,-3.54,,,
439,O=C(OCCCCCCCC)c1c(C(=O)OCCCCCCCC)cccc1,-5.11,,,
440,S(=O)(=O)(c1ccc(N)cc1)c1ccc(N)cc1,-2.92725,,,
441,O=C(NC(CO)(CO)CO)COC(=O)c1ccccc1,-1.268,,,
442,OC(CC)(C)C,0.08,,,
443,S=P(OCC)(OCC)N1C(=O)c2c(C1=O)cccc2,-3.35,,,
444,Clc1c(c2c(Cl)cccc2Cl)c(Cl)cc(Cl)c1,-7.32,,,
445,O=C(O)C(=O)O,0.38,,,
446,O=C1N(C)c2c(Oc3ncc(N)cc13)cc(C)cc2,-3.04,,,
447,Clc1ccccc1,-2.39474,,,
448,OCc1cnccc1,0.96,,,
449,ClC(=C(Cl)CSC(=O)N(C(C)C)C(C)C)Cl,-4.88,,,
450,OCCCCCCCCCC,-3.63,,,
451,O=Cc1cc(OC)c(O)cc1,-1.15489,,,
452,c12c(cc3c(c1)cccc3)cccc2,-6.436607,,,
453,C(#C)C,-0.41,,,
454,O=C1N2C(C(=O)Nc3c1cccc3)CCC2,-3.745,,,
455,O=C(C=CC=Cc1cc2OCOc2cc1)N1CCCCC1,-3.46,,,
456,Clc1nc(NC(C#N)(C)C)nc(NCC)n1,-3.15,,,
457,O=C(OCC)N1CCN(C(=O)OCC)CC1,-0.729,,,
458,O=CCC,0.58,,,
459,Clc1cc2Oc3c(Oc2cc1)cc(Cl)cc3,-7.830002,,,
460,Clc1c(=O)n(C(C)(C)C)c(=O)[nH]c1C,-2.48,,,
461,Clc1c(Cl)c(Cl)c(OC)c(OC)c1Cl,-5.2395,,,
462,OC(CNC(C)(C)C)c1cc(CO)c(O)cc1,-1.16115,,,
463,Clc1c(S(=O)(=O)N)cc(C(=O)NN2C(C)Cc3c2cccc3)cc1,-3.63977,,,
464,ClC(Cl)(Cl)C(P(=O)(OC)OC)O,-0.338,,,
465,O1c2c(Oc3c1cccc3)cccc2,-5.324741,,,
466,O(c1c(CO)cccc1)C1C(O)C(O)C(O)C(CO)O1,-0.85,,,
467,Clc1c(C(O)(c2cncnc2)c2ccc(Cl)cc2)cccc1,-4.38,,,
468,Ic1c2c(ccc1)cccc2,-4.55,,,
469,Clc1c(Cl)c(Cl)c2nccnc2c1Cl,-5.43,,,
470,C(CC(C)C)(C)(C)C,-4.74,,,
471,c12c3c(cccc3)Cc1cccc2,-4.967883,,,
472,O=[N+]([O-])c1cc(N)c(OC)cc1,-3.165,,,
473,O(COC)C,0.48,,,
474,S(=O)(=O)(N)c1occ(S(=O)(=O)c2ccc(O)cc2)c1,-2.403,,,
475,Clc1cc(c2ccccc2)ccc1,-4.88,,,
476,S(=O)(=O)(N)c1sc2c(n1)ccc(O)c2,-2.503,,,
477,O=C(O)CCC(=O)NN(C)C,-0.2,,,
478,O=C(OCC(COC(=O)N)(CCC)C)N,-1.73737,,,
479,O=C(OCC)c1n(C(C)c2ccccc2)cnc1,-4.74,,,
480,O=c1[nH]c2c(C)ccnc2n(C2CC2)c2ncccc12,-3.19,,,
481,O=[N+]([O-])c1ccc(NC(=O)C)cc1,-2.69,,,
482,N1CCCCC1,1.07,,,
483,C(C)c1ncccc1,0.51,,,
484,Ic1c(O)c(I)cc(C#N)c1,-3.61,,,
485,CC1NCC(C)NC1,0.49,,,
486,Clc1c(Cl)ccc([N+](=O)[O-])c1,-3.2,,,
487,Cc1c(C)ccnc1,0.36,,,
488,O=C1CC2C(C)(C3C(C4C(C)(C(O)CC4)CC3)CC2)CC1,-4.74,,,
489,O=C(C=Cc1ccc(OC)cc1)c1c(O)cccc1,-5.699,,,
490,O=[N+]([O-])c1oc(/C=N/N2C(=O)NC(=O)C2)cc1,-3.357,,,
491,Clc1ccc(N(C(=O)CSP(=S)(OC)OC)C(C)C)cc1,-4.43,,,
492,ON=C1C(=NO)CCC(C(C)C)C1,-2.39,,,
493,Brc1c(Cl)cc(OP(=S)(OC)OC)c(Cl)c1,-6.09,,,
494,O=C(NC(=O)C)COC(=O)c1ccccc1,-2.401,,,
495,O=C(NC(C)(C)C)COC(=O)c1ccccc1,-2.866,,,
496,CC1(C)CC(C)CC1,-4.48,,,
497,OC1C2(C)C(C3C(C4(C)C(CC5SC5C4)CC3)CC2)CC1,-5.41,,,
498,Clc1nc(NCC)nc(NCC)n1,-4.55,,,
499,FC(F)(F)c1c(N)c([N+](=O)[O-])c(N(CC)CC)c([N+](=O)[O-])c1,-5.47,,,
500,Clc1c(Cl)c2oc3c(c2cc1Cl)cc(Cl)c(Cl)c3,-9.159894,,,
501,O(CC)c1c2OC3C(O)C=CC4C53c2c(cc1)CC4N(C)CC5,-0.82,,,
502,O(CCNCC(O)COc1c2c([nH]c3c2cccc3)ccc1)c1c(OC)cccc1,-4.2557,,,
503,Fc1c(N2CCNCC2)cc2n(CC)cc(C(=O)O)c(=O)c2c1,-2.81581,,,
504,Cc1nc(C)ccc1,0.45,,,
505,OCCN(CCO)c1ccccc1,-0.73,,,
506,S(=O)(=O)(N)c1scc(C(=O)c2ccc(O)cc2)c1,-2.861,,,
507,OC,1.57,,,
508,O(CCO)Cn1c2nc(N)ncc2nc1,-1.078,,,
509,OC(C(C)(C)C)(C)C,-0.72,,,
510,O=C(OCC)CCCCCCCCC(=O)OCC,-3.509,,,
511,Clc1cc(Cl)cc(N2C(=O)N(C(=O)NC(C)C)CC2=O)c1,-4.38,,,
512,Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-11.69897,,,
513,BrC(C(=O)NC(=O)N)(CC)CC,-2.68,,,
514,S(=O)(=O)(Nc1ncccc1)c1ccc(N/N=C/2\C=C(C(=O)O)C(=O)C=C2)cc1,-6.1367,,,
515,O=C(O)CC(N)C,1.08,,,
516,ClCC1C(Cl)C(=O)N(c2cc(C(F)(F)F)ccc2)C1,-4.05,,,
517,O=C(C)C1C2(C)C(C3C(C4(C)C(=CC3)CC(O)CC4)CC2)CC1,-4.65,,,
518,C(#C)CCCCCCC,-4.24,,,
519,Clc1c(OP(=S)(OC)OC)ccc([N+](=O)[O-])c1,-4.31,,,
520,O=[N+]([O-])c1ccc(C(=O)O)cc1,-2.751,,,
521,Clc1c2Oc3c(c(Cl)cc(Cl)c3)Oc2cc(Cl)c1,-9.0,,,
522,ClC(Cl)C(=O)NC(C(O)c1ccc(S(=O)(=O)C)cc1)CO,-2.15,,,
523,S(=O)(=O)(NC(=O)NN1CCCCCC1)c1ccc(C)cc1,-3.68,,,
524,O=C(OCCN(CC)CC)c1ccc(OCC)cc1,-2.71,,,
525,O=[N+]([O-])c1c(O)c(C(CC)C)cc([N+](=O)[O-])c1,-3.38,,,
526,O=[N+]([O-])c1c(O)c([N+](=O)[O-])cc([N+](=O)[O-])c1,-2.83,,,
527,O=C(O)C(CC)CC,-0.81,,,
528,O=C(c1n2c(C(C(=O)O)CC2)cc1)c1ccccc1,-3.259,,,
529,CN1CCCCC1,0.23,,,
530,Nc1ccccc1,-0.41,,,
531,O=C(O)c1oc(C(=O)O)cc(=O)c1,-1.099,,,
532,Oc1ccc(C(C(CC)c2ccc(O)cc2)CC)cc1,-4.43,,,
533,n1ncccc1,1.1,,,
534,S=C1NCCN1,-0.71,,,
535,O=C1C2(C)C(c3c(c4c(cc(O)cc4)cc3)CC2)CC1,-5.24,,,
536,OC(CO)CO,1.12,,,
537,C(c1ccccc1)(c1ccccc1)(c1ccccc1)c1ccccc1,-7.8,,,
538,Clc1c(OC)cc(Cl)c(OC)c1,-4.41,,,
539,O=C(OCC(=O)C1(O)C2(C)C(C3C(C4(C)C(=CC(=O)C=C4)CC3)C(O)C2)CC1)C(C)(C)C,-4.58,,,
540,OCCC(C)C,-0.52,,,
541,C(=C\c1ccccc1)/c1ccccc1,-5.790116,,,
542,O=C(C(C)(C)C)C,-0.72,,,
543,S(=O)(=O)(N)c1ccc(NC(=O)C)cc1,-1.61,,,
544,O=[N+]([O-])c1c(C)cccc1,-2.31988,,,
545,S=P(OC)(OC)Oc1cc(C)c(SC)cc1,-4.57,,,
546,O(CCO)CCCC,-0.42,,,
547,O=C(O)CCCCCCCCCCC,-4.62,,,
548,OC1(C#C)C2(C)C(C3C(C4(C)C(=Cc5oncc5C4)CC3)CC2)CC1,-5.508497,,,
549,Cc1c2c3c(cc4c5c(ccc4c3CC2)cccc5)cc1,-7.939529,,,
550,O=C(CO)[C@@H]1[C@]2(C=O)[C@H]([C@H]3[C@H]([C@@H](O)C2)[C@]2(C)C(=CC(=O)CC2)CC3)CC1,-3.85,,,
551,S(C)c1nc(N(C)C)nc(N(C)C)n1,-2.68,,,
552,FC(F)(F)c1cc([N+](=O)[O-])c(N(CC(=C)C)CC)c([N+](=O)[O-])c1,-6.12,,,
553,O=C(NCCN(CC)CC)c1c2c(nc(OCCCC)c1)cccc2,-3.79357,,,
554,O=C(N(C)C)Nc1ccc(C(C)C)cc1,-3.52058,,,
555,O=C(OCc1ccccc1)N,-0.35,,,
556,Clc1cc2c([nH]c3c2ccc(C(C(=O)O)C)c3)cc1,-4.6983,,,
557,C(CCc1ccccc1)CC,-4.64,,,
558,Clc1c(CN(CC)c2c([N+](=O)[O-])cc(C(F)(F)F)cc2[N+](=O)[O-])c(F)ccc1,-6.779999,,,
559,O=c1n(n(C)c(C)c1C(C)C)c1ccccc1,-1.908,,,
560,O(C)c1nc(NC(C)C)nc(NCC)n1,-2.08,,,
561,O=C(OCCCC)CCCCCCCCC(=O)OCCCC,-3.72126,,,
562,N(Cc1occc1)c1ncnc2[nH]cnc12,-3.946,,,
563,S=C1N(C)CN(C)CS1,-2.13,,,
564,O=C(Oc1c(C(C)C)cccc1)NC,-2.86,,,
565,ClC1(Cl)[C@]2(Cl)C(=C(Cl)[C@@]1(Cl)[C@@H]1[C@H]2[C@H]2C=C[C@@H]1C2)Cl,-6.56228,,,
566,O(CCO)c1ccccc1,-0.70497,,,
567,Brc1c(Br)cc(Br)c(Br)c1,-6.98,,,
568,OC1CCCCCC1,-0.88,,,
569,ClC(Cl)C(c1ccc(CC)cc1)c1ccc(CC)cc1,-7.04,,,
570,N#CN=C(N)N,-0.31,,,
571,Clc1ccc(CSC(=O)N(CC)CC)cc1,-3.934,,,
572,Clc1nc(N(CC)CC)nc(N(CC)CC)n1,-4.41,,,
573,O=c1n(C)c2c(n(CC)c3ncccc13)cccc2,-3.32,,,
574,Oc1ccc(O)cc1,-0.17,,-2.740804655,
575,O=C(O)CCCCCCCCCCCCCCCCC,-5.68,,,
576,S(=O)(=O)(Nc1nc(C)nc(OC)c1)c1ccc(N)cc1,-2.54,,,
577,O=C(O)C(N)C,0.271842,,,
578,O=C(OCCN(CC)CC)c1ccc(OCCCC)cc1,-3.84,,,
579,S(=O)(=O)(Nc1nc(C)ccn1)c1ccc(N)cc1,-2.8209,,,
580,O=C1N(CO)C(=O)NC1(c1ccccc1)c1ccccc1,-4.469,,,
581,ClC(=CC1C(C)(C)C1C(=O)OC(C#N)c1cc(Oc2ccccc2)c(F)cc1)Cl,-7.339998,,,
582,O=C(NN)c1ccncc1,0.01,,,
583,Fc1c(N2CC(NC)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,-5.312,,,
584,O=C(O)C,1.22,,,
585,Ic1cc(Nc2ncnc3c2cc2OC(COC)COc2c3)ccc1,-3.523,,,
586,S(=O)(=O)(N)c1sc2SCCC(O)c2c1,-2.594,,,
587,Clc1c(C(=O)O)cc([N+](=O)[O-])cc1,-1.74811,,,
588,O=C(COC(=O)c1ccccc1)N1C(C(=O)N)CCC1,-1.045,,,
589,S(=O)(=O)(c1c(O)cccc1)c1c(O)cccc1,-3.319,,,
590,O=C(OC(C)(C)C)N[C@H](C(=O)O)C,-0.74473,,,
591,S(=O)(=O)(Nc1n(c2ccccc2)ncc1)c1ccc(N)cc1,-2.32,,,
592,O=C(O)C(N)CC,0.31,,,
593,C(Cc1ccccc1)c1ccccc1,-4.62,,,
594,Oc1c(C)cccc1,-0.62,,,
595,CN1c2c(Sc3c1cccc3)cccc2,-5.593,,,
596,Clc1cc(Cl)cc(N2C(=O)C3(C)C(C)(C2=O)C3)c1,-4.8,,,
597,O(C)c1c2occc2cc2c1oc(=O)cc2,-3.58438,,,
598,O=C(N(NC(=O)c1ccc(CC)cc1)C(C)(C)C)c1cc(C)cc(C)c1,-5.628,,,
599,O(Cc1ccccc1)c1c2OC3C(O)C=CC4C53c2c(cc1)CC4N(C)CC5,-2.222,,,
600,O=C(N[C@@H]1C(=O)N2C(=C(C)CS[C@H]12)C(=O)O)[C@H](N)C1=CCC=CC1,-1.232,,,
601,O=[N+]([O-])c1sc(N2C(=O)NCC2)nc1,-3.22,,,
602,OCCCCCCCCCCCCCCC,-6.349999,,,
603,O=C(NN)c1ccc(OC)cc1,-1.151,,,
604,O=C(O)CNC(=O)CCC(C)C1C2(C)C(O)CC3C4(C)C(CC(O)C3C2CC1)CC(O)CC4,-5.15,,,
605,O=C(O)C(NC(=O)C)CCC(=O)O,-0.711,,,
606,Clc1cc2N(CCCN3CCN(CCO)CC3)c3c(Sc2cc1)cccc3,-4.24034,,,
607,O=C(OCC)CCCCCCCCC,-4.1,,,
608,Clc1c(Cl)c(Cl)c2c(c1Cl)oc1c(Cl)c(Cl)c(Cl)c(Cl)c21,-11.522879,,,
609,S(=O)(=O)(NC(=O)NC1CCCCC1)c1ccc(C)cc1,-4.21,,,
610,S=P(SCSP(=S)(OCC)OCC)(OCC)OCC,-5.54,,,
611,O=[N+]([O-])c1c2c(ccc1)cccc2,-3.58886,,,
612,O=C(O)C(C)c1ccc(N2C(=O)c3c(cccc3)C2)cc1,-4.308,,,
613,Clc1c(NC(=O)c2c(O)ccc(Cl)c2)ccc([N+](=O)[O-])c1,-4.7,,,
614,O=C(NCc1ccccc1)N,-0.95,,,
615,C(C)c1cc2c(cc1)cccc2,-4.29,,,
616,O=C(OC)CC,-0.14,,,
617,O=C(OC1CC2N(C)C(C1)CC2)[C@H](CO)c1ccccc1,-1.724,,,
618,Clc1ccc(S(=O)(=O)NC(=O)NCCC)cc1,-3.12561,,,
619,S=P(OC)(OC)Oc1ccc([N+](=O)[O-])cc1,-3.68,,,
620,O=c1n(n(C)c(C)c1N)c1ccccc1,-0.62,,,
621,ClC(=CC1C(C)(C)C1C(=O)OCc1cc(Oc2ccccc2)ccc1)Cl,-6.29,,,
622,C(C(C)C)(C(C)C)C,-4.8,,,
623,Oc1cc(C)ccc1,-0.68,,,
624,O=[N+]([O-])c1c(C)ccc([N+](=O)[O-])c1,-2.82,,,
625,O=COC(C)C,-0.63,,,
626,ClC(Cl)(Cl)C(O)O,0.72,,,
627,Nc1c(C)cccc1,-0.85,,,
628,O=[N+]([O-])c1cc2C(=O)OCc2cc1,-2.651,,,
629,Clc1c(Cl)c(c2c(Cl)cc(Cl)c(Cl)c2)ccc1Cl,-8.320027,,,
630,S(C)c1nc(NC(C)C)nc(NCC)n1,-3.04,,,
631,O=C(OC1(C(=O)C)C2(C)C(C3C=C(C)C4=CC(=O)CCC4(C)C3CC2)CC1)C,-5.35,,,
632,S(=O)(=O)(NCCSP(=S)(OC(C)C)OC(C)C)c1ccccc1,-4.2,,,
633,O=C(COC(=O)c1ccccc1)N1CCC1,-1.609,,,
634,FC(F)(F)c1ccc(OC(CCNC)c2ccccc2)cc1,-1.59,,,
635,O(CC)CC,-0.09,,,
636,O=[N+]([O-])c1cc(O)ccc1,-1.01,,,
637,Brc1c([N+](=O)[O-])cc(C(=O)O)cc1,-2.966,,,
638,OC(C(CO)CC)CCC,-0.54,,,
639,ClC(=C(Cl)C(=C(Cl)Cl)Cl)Cl,-4.914971,,,
640,N1CCCC1,1.15,,,
641,O=[N+]([O-])c1cc[n+]([O-])cc1,-0.68825,,,
642,O=[N+]([O-])c1cc(N)c(OCCC)cc1,-3.159,,,
643,Clc1c(c(Cl)cc(Cl)c1)c1ccc(Cl)cc1,-6.940002,,,
644,FC(F)(F)c1cc(NC(=O)N(C)C)ccc1,-3.43,,,
645,Clc1c(Cl)cccc1C1C(=C(C)NC(=C1C(=O)OC)C)C(=O)OCC,-5.682,,,
646,O=C1c2c(C(=O)c3c1cccc3)cccc2,-5.19,,,
647,O=C(OCC(CCCC)CC)CCCCC(=O)OCC(CCCC)CC,-5.064,,,
648,Clc1c(Cl)cc(Cl)c(OP(=S)(OCC)OCC)n1,-5.513696,,,
649,O=C(NCC(C)C)N1C(=O)NCC1,-2.15,,,
650,O(CCOC)CCOC,0.88,,,
651,Cc1c2c(c(C)ccc2)ccc1,-4.74,,,
652,O=C(Oc1c(C2OCCO2)cccc1)NC,-1.57,,,
653,Cc1c(C)c2c(c3c1c1c(cc3)cccc1)cccc2,-7.009999,,,
654,O=C1N(C)CCC1,1.0,,,
655,S(C(=O)N(CCCC)CC)CCC,-3.37896,,,
656,SCC(=O)Nc1cc2c(cc1)cccc2,-3.337,,,
657,O=C(N)c1c(O)ccc(C(O)CNC(CCc2ccccc2)C)c1,-1.3,,,
658,Clc1c(=O)oc2c(c1C)cc(OP(=S)(OCC)OCC)cc2,-5.38,,,
659,CN1CCOCC1,1.0,,,
660,Clc1c(Cl)c2Oc3c(Oc2cc1Cl)cc(Cl)cc3,-8.890084,,,
661,S(=O)(=O)(NC(=O)C)c1ccc(N)cc1,-1.35405,,,
662,O=C(OCCCC)N,-0.66,,,
663,O=[N+]([O-])c1c(C(=O)O)cccc1,-1.474,,,
664,c12c(c3c(c4c1cccc4)cccc3)cccc2,-6.74,,,
665,O=C(O)CCCCCN,-0.97469,,,
666,O=C(Oc1cc(C(C)(C)C)cc(C(C)(C)C)c1)NC,-4.24,,,
667,FC(F)(F)c1cc([N+](=O)[O-])c(N(CCCC)CC)c([N+](=O)[O-])c1,-5.53,,,
668,O=Cc1c(O)cccc1,-0.86,,,
669,F[C@]12[C@@H](O)C[C@]3(C)[C@@](OC(=O)CCCC)(C(=O)CO)[C@@H](C)C[C@H]3[C@@H]1CCC1=CC(=O)C=C[C@]21C,-4.9073,,,
670,FC12C3(C)C(=CC(=O)C=C3)CCC1C1C(C)(C(OC(=O)CCCC)(C(=O)CO)C(C)C1)CC2O,-4.71,,,
671,CN1C(c2cnccc2)CCC1,0.79,,,
672,O=[N+](OC(CO[N+](=O)[O-])CO[N+](=O)[O-])[O-],-2.22,,,
673,S(=O)(=O)(NC(=O)C)c1ccc(NC(=O)c2c(C(=O)O)cccc2)cc1,-2.517,,,
674,O[C@@H](CNC)c1cc(O)ccc1,0.58,,,
675,ClC(=CCl)CSC(=O)N(C(C)C)C(C)C,-4.06988,,,
676,Fc1c(N2CCN(CC)CC2)cc2n(C3CC3)cc(C(=O)O)c(=O)c2c1,-3.1811,,,
677,O=[N+]([O-])c1c(C)c([N+](=O)[O-])cc([N+](=O)[O-])c1,-3.22,,,
678,Clc1nnc(SCC(=O)N(CC)CC)cc1,-1.72,,,
679,P(=O)(OCCCC)(OCCCC)OCCCC,-2.846,,,
680,Clc1c(Oc2cc(C(=O)OC)c([N+](=O)[O-])cc2)ccc(Cl)c1,-6.0,,,
681,O=c1n(C)c2c(n(CC)c3ncccc13)nccc2,-2.62,,,
682,O=C(C(C)C)C,-0.12,,,
683,Clc1c(Cl)cc(Cl)c2nsnc12,-4.98,,,
684,O=C(O)CCCCCCCCCCCCC,-5.33,,,
685,C(CCCC)CCC,-5.24,,,
686,o1c2c(c3c1cccc3)cccc2,-4.51267,,,
687,c12c3c4c5c(c1cccc2ccc3ccc4)cccc5,-7.799998,,,
688,O=[N+]([O-])c1c(OCC(=O)O)cccc1,-2.014,,,
689,O=[N+]([O-])c1ccc(N)cc1,-2.37,,,
690,Clc1cc2[nH]c(=O)oc2cc1,-2.77605,,,
691,O=COC,0.58,,,
692,O=C1N=CN=CC1,0.59,,,
693,Fc1c(N2CC(N)(C)C2)cc2n(C3CC3)cc(C(=O)O)c(=O)c2c1,-5.616,,,
694,O=NN(c1ccccc1)c1ccccc1,-3.75,,,
695,O=C(N(CCO)CCO)COC(=O)c1ccccc1,0.43,,,
696,O=C(O)CCN,0.999479,,,
697,ClC(=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1)Cl,-6.899998,,,
698,OC(CNC)c1cc(O)c(O)cc1,-0.962,,,
699,ClC1=C(NC2C=C(CC(=O)OCC(=O)NC(C(=O)OC)C(C)C)C=CC=C2)C(Cl)C=CC=C1,-1.59908,,,
700,O=C1C(N2C(=O)c3c(C2=O)cccc3)CCC(=O)N1,-2.68,,,
701,Clc1c(c2ccc(Cl)cc2)cccc1,-5.28,,,
702,Brc1cc(Nc2ncnc3c2cc2OC(COC)COc2c3)ccc1,-3.222,,,
703,S(=O)(=O)(N)c1sc2C(O)CCSc2c1,-2.254,,,
704,[nH]1c2c(c3c1cccc3)cccc2,-4.97,,,
705,Clc1cc(NC(=O)OC(C#C)C)ccc1,-2.62,,,
706,OC(CN)c1ccccc1,-0.48,,,
707,S=C(N)N,0.32,,,
708,C(#C)CCCCCC,-3.66,,,
709,S(=O)(=O)(N)c1cc([N+](=O)[O-])c(N(CCC)CCC)c([N+](=O)[O-])c1,-5.16,,,
710,OC(C(O)CO)CO,0.7,,,
711,ClC(Cl)(Cl)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,-5.67,,,
712,Brc1c(O)c(Br)cc(C#N)c1,-3.33,,,
713,O=[N+]([O-])c1c(OC)ccc(OC)c1,-3.117,,,
714,O=C(OC)CCCCCCCCCCC,-4.69,,,
715,O=C(COC(=O)c1ccccc1)N1C(C(=O)OC)CCC1,-2.084,,,
716,O=C(OC(COC(=O)C)COC(=O)C)C,-0.6,,,
717,F[C@]12[C@@H](O)C[C@]3(C)[C@@](O)(C(=O)CO)[C@@H](C)C[C@H]3[C@@H]1CCC1=CC(=O)C=C[C@]21C,-3.7945,,,
718,C(N1CCN(C)CC1)(c1ccccc1)c1ccccc1,-1.527,,,
719,O=C(N)C(CCN(C(C)C)C(C)C)(c1ncccc1)c1ccccc1,-1.75,,,
720,O=C1N(C)C(=O)NC(=O)C1(C)C1=CCCCC1,-2.76364,,,
721,O=[N+]([O-])c1n(CCO)c(C)nc1,-1.20351,,,
722,S(=O)(=O)(N)c1scc(S(=O)(=O)c2ccc(OC)cc2)c1,-4.222,,,
723,S(=O)(=O)(NC(=O)NCCCC)c1ccc(N)cc1,-2.18,,,
724,C=C,-0.4,,,
